Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.00165220319791242,4.21915156433396E-05,0.00463653964446332,0,0,0,0.540566917820496,0.000172274623269092,-2.9261724455527E-08,-1.66565833689069E-07,0.00052491603837483,1.79272280011025E-08,0.00061384097546685,0,0,0,0,0,0,package://LIUZU/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://LIUZU/meshes/base_link.STL,,复件 Assembly - Body-1,坐标系1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
RB_DATUI_LINK,0.0255249899968422,0.000763425816777144,0.000986100417396454,0,0,0,0.0217926611984533,6.59142495049403E-06,-6.61071268162921E-07,6.61072459574503E-07,5.12390522073495E-06,-5.58337493521547E-13,5.12738472145757E-06,0,0,0,0,0,0,package://LIUZU/meshes/RB_DATUI_LINK.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://LIUZU/meshes/RB_DATUI_LINK.STL,,DATUI-2,坐标系2,基准轴2,RB_DATUI_JOINT,revolute,-0.11037,-0.058365,0.0091,0,0,-2.3562,base_link,0,0,-1,0,0,-1.5708,1.5708,,,,,,,,
RB_XI_LINK,0.0195079618947733,-0.00386391652748604,-0.00172748662309145,0,0,0,0.0522182293168731,1.06499982418723E-05,1.10358494836357E-06,-6.71225057808067E-07,1.62947340584525E-05,-1.70949741532194E-07,1.11616096936092E-05,0,0,0,0,0,0,package://LIUZU/meshes/RB_XI_LINK.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://LIUZU/meshes/RB_XI_LINK.STL,,ZHOU-2,坐标系3,基准轴3,RB_XI_JOINT,revolute,0.051,-0.0001,0,-1.5708,-0.4479,0,RB_DATUI_LINK,0,0,-1,0,0,-1.5708,1.5708,,,,,,,,
RB_XIAOTUI_LINK,0.0289753122034032,-0.0111829923893765,-0.00192095339841086,0,0,0,0.0620612948573943,1.23823906917626E-05,9.54958966354607E-07,3.87138637521844E-08,1.69766635539357E-05,-4.48742032954963E-08,1.63610022361651E-05,0,0,0,0,0,0,package://LIUZU/meshes/RB_XIAOTUI_LINK.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://LIUZU/meshes/RB_XIAOTUI_LINK.STL,,XIAOTUI-2,坐标系4,基准轴4,RB_XIAOTUI_JOINT,revolute,0.064612,0,0.000127,0,0,2.0281,RB_XI_LINK,0,0,-1,0,0,-1.5708,1.5708,,,,,,,,
RB_R_LINK,0.187481570764567,0.134878400307551,0.0873987406896935,0,0,0,1.35700200010975,0.018634872344161,-4.77868890209303E-05,7.15309895805766E-06,0.019396702045632,9.99491939890377E-07,0.0366527677642495,0,0,0,0,0,0,package://LIUZU/meshes/RB_R_LINK.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://LIUZU/meshes/RB_R_LINK.STL,,moduan-1,坐标系5,基准轴5,RB_R_JOINT,revolute,0.11462,0,0,-1.5708,-0.7854,1.5613,RB_XIAOTUI_LINK,0,0,-1,0,0,-1.5708,1.5708,,,,,,,,
RB_P_LINK,0.187481570764567,0.0873987406896937,-0.134878400307551,0,0,0,1.35700200010975,0.018634872344161,7.15309895805757E-06,4.77868890209307E-05,0.0366527677642495,-9.99491939872062E-07,0.019396702045632,0,0,0,0,0,0,package://LIUZU/meshes/RB_P_LINK.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://LIUZU/meshes/RB_P_LINK.STL,,moduan-2,坐标系6,基准轴6,RB_P_JOINT,revolute,0,0,0,1.5708,0,0,RB_R_LINK,0,0,-1,0,0,-1.5708,1.5708,,,,,,,,
RB_Y_LINK,0.134878400307551,0.0873987406896936,0.187481570764567,0,0,0,1.35700200010975,0.019396702045632,9.9949193988299E-07,-4.77868890209314E-05,0.0366527677642495,7.15309895805885E-06,0.018634872344161,0,0,0,0,0,0,package://LIUZU/meshes/RB_Y_LINK.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://LIUZU/meshes/RB_Y_LINK.STL,,moduan-3,坐标系7,基准轴7,RB_Y_JOINT,revolute,0,0,0,0,1.5708,0,RB_P_LINK,0,0,-1,0,0,-1.5708,1.5708,,,,,,,,
RM_DATUI_LINK,0.0255249916730214,0.000763424761748375,0.000986100479276303,0,0,0,0.021792663307571,6.59142493016508E-06,-6.61071273394348E-07,6.61072453568919E-07,5.12390522201195E-06,-5.53037152747024E-13,5.12738469820539E-06,0,0,0,0,0,0,package://LIUZU/meshes/RM_DATUI_LINK.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://LIUZU/meshes/RM_DATUI_LINK.STL,,DATUI-1,坐标系8,基准轴8,RM_DATUI_JOINT,revolute,0,-0.0907,0.0091,0,0,-1.5708,base_link,0,0,-1,0,0,-1.5708,1.5708,,,,,,,,
RM_XI_LINK,0.0195079633298751,-0.00386391587940103,-0.00172748486360854,0,0,0,0.0522182251911247,1.06499978375078E-05,1.10358460698087E-06,-6.71224758181598E-07,1.62947328581888E-05,-1.709477599972E-07,1.11616086966235E-05,0,0,0,0,0,0,package://LIUZU/meshes/RM_XI_LINK.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://LIUZU/meshes/RM_XI_LINK.STL,,ZHOU-1,坐标系9,基准轴9,RM_XI_JOINT,revolute,0.051,-0.0001,0,-1.5708,-0.4479,0,RM_DATUI_LINK,0,0,-1,0,0,-1.5708,1.5708,,,,,,,,
RM_XIAOTUI_LINK,0.0289753091271252,-0.0111829928382984,-0.00192095355098056,0,0,0,0.0620612828221141,1.23823899391946E-05,9.54958336168956E-07,3.87140428789621E-08,1.697666312823E-05,-4.48744848665209E-08,1.63610010795271E-05,0,0,0,0,0,0,package://LIUZU/meshes/RM_XIAOTUI_LINK.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://LIUZU/meshes/RM_XIAOTUI_LINK.STL,,XIAOTUI-1,坐标系10,基准轴10,RM_XIAOTUI_JOINT,revolute,0.064612,0,0.000127,0,0,2.0281,RM_XI_LINK,0,0,-1,0,0,-1.5708,1.5708,,,,,,,,
